number,value,datetime_start,datetime_complete,duration,params_batch_size,params_ent_coef,params_false_weight,params_jump_weight,params_learning_rate,params_missed_weight,params_n_epochs,params_n_steps,state
0,-3.8030015300000004,2026-03-25 12:04:55.506290,2026-03-25 12:32:52.530773,0 days 00:27:57.024483,128,0.0036786516850218294,0.5125984596965356,0.2854579746893484,2.2907716750642663e-05,4.896182501596451,16,2048,COMPLETE
1,-8.42809491,2026-03-25 12:32:52.548597,2026-03-25 13:04:31.934958,0 days 00:31:39.386361,64,0.009510580518356772,0.8721149900885388,0.9954710918902178,2.6668680804438133e-05,3.9497182382230696,19,1024,COMPLETE
2,-10.193705569999999,2026-03-25 13:04:31.947974,2026-03-25 13:32:56.138598,0 days 00:28:24.190624,64,0.004087597466193422,0.4345850004815722,0.43935962372859105,1.4238779977837658e-05,3.1928631153044353,7,2048,COMPLETE
3,-3.64569547,2026-03-25 13:32:56.151002,2026-03-25 14:02:40.604123,0 days 00:29:44.453121,32,0.0034696437171570335,0.8208621649298179,0.2960734466615309,3.347555061710113e-05,1.6646995428940183,5,1024,COMPLETE
4,-5.493677330000001,2026-03-25 14:02:40.620174,2026-03-25 14:36:25.279791,0 days 00:33:44.659617,32,0.0984333401877211,0.9766506519175038,0.1654015543691758,4.660563916788694e-05,3.032327510594756,11,1024,COMPLETE
5,-4.78025647,2026-03-25 14:36:25.339430,2026-03-25 15:06:33.355713,0 days 00:30:08.016283,32,0.02264903062625548,0.55649339496127,0.9071505837884587,0.00012007274363140194,4.1096125900417935,5,2048,COMPLETE
6,-2.8841015000000003,2026-03-25 15:06:33.370104,2026-03-25 15:37:33.979386,0 days 00:31:00.609282,32,0.003800094444264583,0.6430848344996506,0.9798942231368287,0.0006472166191424625,2.331556772934832,5,4096,COMPLETE
7,-2.26928202,2026-03-25 15:37:33.995642,2026-03-25 16:08:04.510922,0 days 00:30:30.515280,128,0.0052937307558067115,0.569223483320662,0.000951632119151613,0.0009661824760258991,2.8849820238647004,17,2048,COMPLETE
8,-0.7498706100000001,2026-03-25 16:08:04.528926,2026-03-25 16:42:41.736223,0 days 00:34:37.207297,32,0.011952926057491767,0.36927819909361903,0.9291402633812028,2.6004719786846442e-05,2.720882524944414,16,1024,COMPLETE
9,0.9736836299999995,2026-03-25 16:42:41.763737,2026-03-25 17:14:43.125891,0 days 00:32:01.362154,32,0.001109032549102556,0.16694942874715862,0.020759494920177368,0.0003663577077243567,2.161538964249858,11,1024,COMPLETE
10,1.98420742,2026-03-25 17:18:56.616501,2026-03-25 17:49:33.487640,0 days 00:30:36.871139,64,0.00028803708386041145,0.10477493647283419,0.6492703827669695,0.0003009254998532922,1.1069034158903872,11,4096,COMPLETE
11,2.32709306,2026-03-25 17:49:33.507473,2026-03-25 18:20:01.330497,0 days 00:30:27.823024,64,0.00029583044152255785,0.11495521921954654,0.6784988772572743,0.000274879015607489,1.0117523904968875,11,4096,COMPLETE
12,2.7351748499999995,2026-03-25 18:20:01.390503,2026-03-25 18:51:45.527392,0 days 00:31:44.136889,64,0.00010762082690254194,0.11188614914598123,0.6866690569477851,0.0001931068813367053,1.018282073051608,13,4096,COMPLETE
13,1.7502125800000001,2026-03-25 18:51:45.540758,2026-03-25 19:22:53.414891,0 days 00:31:07.874133,64,0.00010751384174856043,0.26637593683496225,0.7024851787271543,0.00013301431517260745,1.0480931904776618,13,4096,COMPLETE
14,0.6892892400000001,2026-03-25 19:22:53.475070,2026-03-25 19:54:43.485983,0 days 00:31:50.010913,64,0.00034793523813231336,0.22154847794342947,0.7085485491730497,0.00021691136709327984,1.64311440613025,13,4096,COMPLETE
15,0.7737104500000005,2026-03-25 19:54:43.498024,2026-03-25 20:25:07.927950,0 days 00:30:24.429926,64,0.00014429207847463645,0.3107150319030708,0.5977482352375098,7.171528260518055e-05,1.6680167550604716,9,4096,COMPLETE
16,0.75695532,2026-03-25 20:25:07.986882,2026-03-25 20:57:03.450404,0 days 00:31:55.463522,64,0.000895892432133695,0.10506470304131477,0.7951540336989302,0.0001993172902195082,1.3693106038091114,14,4096,COMPLETE
17,-0.42329945999999974,2026-03-25 20:57:03.511652,2026-03-25 21:27:08.037722,0 days 00:30:04.526070,64,0.0009530999544070193,0.37654323380558247,0.5286307644289695,0.00039756876576805275,2.2094156627600032,8,4096,COMPLETE
18,-6.132303,2026-03-25 21:27:08.050295,2026-03-25 21:55:15.193191,0 days 00:28:07.142896,128,0.00033664954887277954,0.6804554647084581,0.8110854630495362,6.885206843821344e-05,1.9625202027393833,10,4096,COMPLETE
19,-2.3141216399999998,2026-03-25 21:55:15.252799,2026-03-25 22:25:10.033048,0 days 00:29:54.780249,64,0.0005681089896635727,0.19627047545699502,0.4471305698633,0.0006262239487830372,3.606081282834498,15,4096,COMPLETE
20,0.6575880399999997,2026-03-26 09:37:22.582738,2026-03-26 10:07:38.505760,0 days 00:30:15.923022,64,0.00017645812027043236,0.2912957847062225,0.8170408585081018,0.00017645888109697183,1.0225613630553596,19,4096,COMPLETE
21,3.1460659899999994,2026-03-26 10:07:38.519531,2026-03-26 10:36:11.686882,0 days 00:28:33.167351,64,0.0003025818018775118,0.11184900749314902,0.62934729613852,0.00033278269790786355,1.2890777198058905,12,4096,COMPLETE
22,3.1174311600000006,2026-03-26 10:36:11.748335,2026-03-26 11:04:21.097122,0 days 00:28:09.348787,64,0.001683846956247297,0.1009740932455162,0.5698036057857265,0.00030867892604312776,1.418373094796803,12,4096,COMPLETE
23,0.9602916400000001,2026-03-26 11:04:21.157228,2026-03-26 11:34:15.818734,0 days 00:29:54.661506,64,0.00010596358485653789,0.1795017242231653,0.5470461590038455,0.0004807767315753384,1.4564814819338994,13,4096,COMPLETE
24,1.31204283,2026-03-26 11:34:15.877242,2026-03-26 12:03:10.504315,0 days 00:28:54.627073,64,0.001451213302263783,0.24722365998029605,0.43502249220411654,0.00014323210692039756,1.934830643507118,12,4096,COMPLETE
25,-1.1267359800000003,2026-03-26 12:03:10.517665,2026-03-26 12:30:22.869048,0 days 00:27:12.351383,128,0.0018844060658454295,0.1788946693345831,0.34870245818019735,9.250303232768119e-05,2.601904466610357,15,4096,COMPLETE
26,1.6363861999999998,2026-03-26 12:30:22.928204,2026-03-26 12:57:59.510782,0 days 00:27:36.582578,64,0.0005479942326142529,0.3489226081299375,0.7734442760800212,0.0002498939126837588,1.3288472728368295,9,4096,COMPLETE
27,-3.6361437799999994,2026-03-26 12:57:59.570643,2026-03-26 13:27:02.637927,0 days 00:29:03.067284,64,0.00018021618485935544,0.4771683576356057,0.6372840563249915,0.000560117880195917,1.8782908527886768,14,4096,COMPLETE
28,2.98092473,2026-03-26 13:27:02.651725,2026-03-26 13:55:52.526009,0 days 00:28:49.874284,64,0.0005254698584265101,0.1509726342283511,0.5760155106669752,0.00032257368453510735,1.3681181873869313,12,4096,COMPLETE
29,-2.21724791,2026-03-26 13:55:52.584387,2026-03-26 14:23:33.503916,0 days 00:27:40.919529,128,0.0022811709042710364,0.24420443668548214,0.5842253935397861,0.0008764334092728747,4.923854618661538,17,2048,COMPLETE
30,-0.5226903200000002,2026-03-26 14:23:33.517686,2026-03-26 14:52:33.897285,0 days 00:29:00.379599,64,0.000629452762956541,0.42860177878052835,0.3749495928924086,0.0003739870315961634,1.3987423382882147,12,2048,COMPLETE
